Date,Close
11/11/2022,33747.85938
11/14/2022,33536.69922
11/15/2022,33592.92188
11/16/2022,33553.82813
11/17/2022,33546.32031
11/18/2022,33745.69141
11/21/2022,33700.28125
11/22/2022,34098.10156
11/23/2022,34194.05859
11/25/2022,34347.03125
11/28/2022,33849.46094
11/29/2022,33852.53125
11/30/2022,34589.76953
12/1/2022,34395.01172
12/2/2022,34429.87891
12/5/2022,33947.10156
12/6/2022,33596.33984
12/7/2022,33597.92188
12/8/2022,33781.48047
12/9/2022,33476.46094
12/12/2022,34005.03906
12/13/2022,34108.64063
12/14/2022,33966.35156
12/15/2022,33202.21875
12/16/2022,32920.46094
12/19/2022,32757.53906
12/20/2022,32849.73828
12/21/2022,33376.48047
12/22/2022,33027.48828
12/23/2022,33203.92969
12/27/2022,33241.55859
12/28/2022,32875.71094
12/29/2022,33220.80078
12/30/2022,33147.25
1/3/2023,33136.37109
1/4/2023,33269.76953
1/5/2023,32930.07813
1/6/2023,33630.60938
1/9/2023,33517.64844
1/10/2023,33704.10156
1/11/2023,33973.01172
1/12/2023,34189.96875
1/13/2023,34302.60938
1/17/2023,33910.85156
1/18/2023,33296.96094
1/19/2023,33044.55859
1/20/2023,33375.48828
1/23/2023,33629.55859
1/24/2023,33733.96094
1/25/2023,33743.83984
1/26/2023,33949.41016
1/27/2023,33978.07813
1/30/2023,33717.08984
1/31/2023,34086.03906
2/1/2023,34092.96094
2/2/2023,34053.94141
2/3/2023,33926.01172
2/6/2023,33891.01953
2/7/2023,34156.69141
2/8/2023,33949.01172
2/9/2023,33699.87891
2/10/2023,33869.26953
2/13/2023,34245.92969
2/14/2023,34089.26953
2/15/2023,34128.05078
2/16/2023,33696.85156
2/17/2023,33826.69141
2/21/2023,33129.58984
2/22/2023,33045.08984
2/23/2023,33153.91016
2/24/2023,32816.92188
2/27/2023,32889.08984
2/28/2023,32656.69922
3/1/2023,32661.83984
3/2/2023,33003.57031
3/3/2023,33390.96875
3/6/2023,33431.44141
3/7/2023,32856.46094
3/8/2023,32798.39844
3/9/2023,32254.85938
3/10/2023,31909.64063
3/13/2023,31819.14063
3/14/2023,32155.40039
3/15/2023,31874.57031
3/16/2023,32246.55078
3/17/2023,31861.98047
3/20/2023,32244.58008
3/21/2023,32560.59961
3/22/2023,32030.10938
3/23/2023,32105.25
3/24/2023,32237.5293
3/27/2023,32432.08008
3/28/2023,32394.25
3/29/2023,32717.59961
3/30/2023,32859.03125
3/31/2023,33274.14844
4/3/2023,33601.14844
4/4/2023,33402.37891
4/5/2023,33482.71875
4/6/2023,33485.28906
4/10/2023,33586.51953
4/11/2023,33684.78906
4/12/2023,33646.5
4/13/2023,34029.69141
4/14/2023,33886.46875
4/17/2023,33987.17969
4/18/2023,33976.62891
4/19/2023,33897.01172
4/20/2023,33786.62109
4/21/2023,33808.96094
4/24/2023,33875.39844
4/25/2023,33530.82813
4/26/2023,33301.87109
4/27/2023,33826.16016
4/28/2023,34098.16016
5/1/2023,34051.69922
5/2/2023,33684.53125
5/3/2023,33414.23828
5/4/2023,33127.73828
5/5/2023,33674.37891
5/8/2023,33618.69141
5/9/2023,33561.80859
5/10/2023,33531.32813
5/11/2023,33309.51172
5/12/2023,33300.62109
5/15/2023,33348.60156
5/16/2023,33012.14063
5/17/2023,33420.76953
5/18/2023,33535.91016
5/19/2023,33426.62891
5/22/2023,33286.57813
5/23/2023,33055.51172
5/24/2023,32799.92188
5/25/2023,32764.65039
5/26/2023,33093.33984
5/30/2023,33042.78125
5/31/2023,32908.26953
6/1/2023,33061.57031
6/2/2023,33762.76172
6/5/2023,33562.85938
6/6/2023,33573.28125
6/7/2023,33665.01953
6/8/2023,33833.60938
6/9/2023,33876.78125
6/12/2023,34066.32813
6/13/2023,34212.12109
6/14/2023,33979.32813
6/15/2023,34408.05859
6/16/2023,34299.12109
6/20/2023,34053.87109
6/21/2023,33951.51953
6/22/2023,33946.71094
6/23/2023,33727.42969
6/26/2023,33714.71094
6/27/2023,33926.73828
6/28/2023,33852.66016
6/29/2023,34122.42188
6/30/2023,34407.60156
7/3/2023,34418.46875
7/5/2023,34288.64063
7/6/2023,33922.26172
7/7/2023,33734.87891
7/10/2023,33944.39844
7/11/2023,34261.42188
7/12/2023,34347.42969
7/13/2023,34395.14063
7/14/2023,34509.03125
7/17/2023,34585.35156
7/18/2023,34951.92969
7/19/2023,35061.21094
7/20/2023,35225.17969
7/21/2023,35227.69141
7/24/2023,35411.23828
7/25/2023,35438.07031
7/26/2023,35520.12109
7/27/2023,35282.71875
7/28/2023,35459.28906
7/31/2023,35559.53125
8/1/2023,35630.67969
8/2/2023,35282.51953
8/3/2023,35215.89063
8/4/2023,35065.62109
8/7/2023,35473.12891
8/8/2023,35314.48828
8/9/2023,35123.35938
8/10/2023,35176.14844
8/11/2023,35281.39844
8/14/2023,35307.62891
8/15/2023,34946.39063
8/16/2023,34765.73828
8/17/2023,34474.82813
8/18/2023,34500.66016
8/21/2023,34463.69141
8/22/2023,34288.82813
8/23/2023,34472.98047
8/24/2023,34099.42188
8/25/2023,34346.89844
8/28/2023,34559.98047
8/29/2023,34852.67188
8/30/2023,34890.23828
8/31/2023,34721.91016
9/1/2023,34837.71094
9/5/2023,34641.96875
9/6/2023,34443.19141
9/7/2023,34500.73047
9/8/2023,34576.58984
9/11/2023,34663.71875
9/12/2023,34645.98828
9/13/2023,34575.53125
9/14/2023,34907.10938
9/15/2023,34618.23828
9/18/2023,34624.30078
9/19/2023,34517.73047
9/20/2023,34440.87891
9/21/2023,34070.42188
9/22/2023,33963.83984
9/25/2023,34006.87891
9/26/2023,33618.87891
9/27/2023,33550.26953
9/28/2023,33666.33984
9/29/2023,33507.5
10/2/2023,33433.35156
10/3/2023,33002.37891
10/4/2023,33129.55078
10/5/2023,33119.57031
10/6/2023,33407.57813
10/9/2023,33604.64844
10/10/2023,33739.30078
10/11/2023,33804.87109
10/12/2023,33631.14063
10/13/2023,33670.28906
10/16/2023,33984.53906
10/17/2023,33997.64844
10/18/2023,33665.07813
10/19/2023,33414.17188
10/20/2023,33127.28125
10/23/2023,32936.41016
10/24/2023,33141.37891
10/25/2023,33035.92969
10/26/2023,32784.30078
10/27/2023,32417.58984
10/30/2023,32928.96094
10/31/2023,33052.87109
11/1/2023,33274.57813
11/2/2023,33839.07813
11/3/2023,34061.32031
11/6/2023,34095.85938
11/7/2023,34152.60156
11/8/2023,34112.26953
11/9/2023,33891.94141
11/10/2023,34283.10156
